age,income,credit_score,loan_amount,debt_ratio,gender,employment_years,default
59,44572,757,23623,0.91,Female,24,0
49,46867,718,10933,0.31,Male,24,1
35,69431,738,21825,0.74,Female,15,0
63,54639,627,8775,0.47,Female,5,0
28,85356,781,13753,0.94,Male,9,0
41,82014,695,20810,0.76,Male,28,0
59,85105,660,4390,0.54,Male,20,0
39,46252,700,2499,0.84,Female,6,0
43,67363,652,10743,1.0,Male,4,0
31,52837,686,12487,0.5,Male,12,0
31,64918,695,13321,0.44,Female,8,0
44,47915,645,15806,0.65,Male,8,0
56,78392,687,22452,0.71,Male,22,0
60,48196,644,35677,0.73,Female,14,0
44,30791,644,14975,0.53,Female,3,0
23,90506,629,23050,0.4,Male,0,0
42,66637,661,29962,0.84,Female,19,0
22,43963,652,28532,0.96,Male,27,0
44,57565,703,13717,0.88,Female,13,0
64,51347,734,26984,0.71,Female,18,0
50,60086,713,30325,0.42,Female,0,0
58,72041,728,32247,0.66,Male,28,0
22,69686,724,32548,0.19,Female,9,0
41,63805,633,11198,0.58,Female,3,0
53,60078,663,21917,0.8,Female,22,0
32,76180,768,14477,0.33,Female,17,0
42,31118,652,9549,0.55,Male,28,0
64,48766,772,23828,0.17,Female,27,0
45,45320,659,21608,0.85,Male,11,1
69,75093,577,21367,0.42,Male,6,0
47,48913,667,16201,0.62,Female,5,0
62,40710,722,39592,0.44,Male,8,0
48,68239,763,32071,0.64,Female,26,1
36,46368,606,16651,0.77,Male,1,0
35,54739,721,19811,0.39,Female,29,0
67,95717,724,23962,0.57,Male,14,0
64,71807,745,28218,0.82,Male,21,0
23,56834,546,23857,0.72,Female,12,0
57,58183,762,20917,0.15,Female,10,0
27,73612,702,8660,0.61,Male,21,0
41,69943,702,35703,0.44,Male,21,0
29,61133,731,14951,0.74,Female,18,0
59,61553,579,28489,0.12,Male,5,1
38,37802,730,20251,0.4,Male,8,1
24,34649,798,30001,0.18,Male,29,0
45,57347,611,9592,0.93,Female,11,0
34,50500,676,14917,0.89,Male,28,0
29,68791,681,18877,0.97,Female,10,0
46,62957,697,12666,0.68,Female,2,1
22,48408,701,15706,0.83,Male,17,0
40,62447,646,30329,0.65,Female,23,1
48,53726,681,24420,0.54,Female,12,0
67,90999,767,31581,0.85,Female,29,0
27,65793,700,20523,0.8,Female,12,0
64,36590,698,18729,0.76,Female,14,0
28,87307,644,9538,0.9,Female,18,0
67,50502,746,28381,0.94,Female,14,0
55,45378,669,18710,0.5,Female,27,0
34,92155,577,21556,0.35,Male,14,0
37,65187,701,15525,0.56,Female,4,0
56,70511,715,42766,0.18,Male,4,1
60,70995,665,20984,0.94,Female,1,0
24,56910,568,14280,0.99,Female,17,0
22,51413,624,10725,0.69,Male,5,0
26,53861,674,24226,0.77,Male,17,1
62,84132,660,13973,0.39,Male,29,0
24,63056,702,16390,0.88,Male,21,0
49,79693,709,7777,0.91,Male,27,0
38,58853,658,20536,0.17,Male,27,0
46,48669,610,20450,0.22,Female,6,0
64,38366,752,34863,0.33,Male,28,0
54,69720,708,15712,0.73,Female,19,0
30,85411,713,2422,0.27,Male,25,0
56,46710,699,18221,0.3,Male,19,0
34,67700,734,30423,0.44,Female,28,0
51,39365,660,24883,0.65,Female,2,0
68,51664,721,28690,0.98,Male,16,1
35,64019,713,23616,0.81,Female,19,0
28,34075,711,16489,0.6,Male,18,0
34,59729,620,11005,0.14,Male,7,0
43,47449,686,12138,0.57,Female,20,0
60,69071,699,15183,0.28,Male,22,0
41,57518,768,25072,0.37,Female,18,0
36,74091,684,19356,0.33,Female,18,0
65,55806,734,5606,0.41,Female,26,0
38,39564,605,22561,0.16,Male,5,0
67,37695,644,29781,0.62,Male,25,1
44,31364,701,7375,0.14,Female,19,0
46,69494,701,24397,0.69,Male,7,0
45,98365,644,3111,0.76,Male,2,0
65,66528,727,12993,0.54,Female,4,0
61,85080,671,9730,0.8,Female,0,0
49,77003,670,25477,0.97,Male,29,0
35,52224,676,33316,0.41,Female,0,0
65,78979,746,28496,0.66,Male,23,1
21,52821,734,28226,0.39,Male,22,0
45,53119,774,12548,0.5,Female,0,0
27,56871,707,24663,0.12,Female,5,0
29,57582,776,21916,0.17,Male,1,1
44,69920,691,10596,0.82,Male,11,1
21,49936,673,28608,0.23,Male,16,0
64,73336,658,23469,0.73,Female,9,0
28,73121,671,18249,0.74,Female,4,0
44,65144,673,26569,1.0,Female,4,1
31,89094,645,21183,0.73,Female,1,0
37,79310,650,29609,0.22,Male,11,0
28,76045,710,35104,0.66,Male,4,0
55,60992,655,17766,0.57,Male,29,0
55,65276,594,17678,0.93,Male,14,0
53,67857,592,16073,0.72,Female,22,0
25,60198,575,20139,0.57,Female,19,0
62,54366,609,30807,0.66,Female,17,1
59,23914,620,11512,0.5,Male,28,0
61,70766,631,9036,0.56,Male,20,1
48,75621,694,21887,0.75,Female,26,0
27,42583,616,19700,0.17,Male,5,0
29,69077,634,21544,0.65,Male,28,0
28,51127,588,4348,0.18,Male,23,0
32,54502,646,32330,0.87,Male,13,0
54,79661,716,21642,0.95,Male,24,1
53,45140,678,39575,0.8,Female,10,1
68,45117,684,23308,0.75,Female,25,0
43,87072,679,16788,0.95,Male,7,0
44,57816,615,22039,0.3,Male,22,0
57,78698,659,31836,0.31,Male,24,0
55,36019,691,14236,0.53,Female,8,0
64,37220,728,24675,0.11,Male,5,0
60,46305,698,23502,0.97,Male,27,1
42,52778,724,24752,0.13,Male,2,0
47,38950,625,12728,0.64,Male,29,1
55,65539,604,25100,0.42,Female,27,1
21,66518,592,24498,0.19,Male,26,0
55,46527,720,32534,0.12,Female,7,1
57,47721,608,34183,0.34,Male,15,0
67,49698,733,22983,0.2,Male,18,0
34,42526,657,21833,0.95,Male,0,1
23,16566,763,12315,0.32,Male,12,0
21,58724,657,18426,0.18,Male,11,0
25,53543,660,16353,0.79,Male,19,0
46,55077,683,27805,0.47,Female,29,0
34,44822,659,22458,0.86,Male,24,0
59,72157,700,12144,0.85,Female,28,0
47,96380,627,13266,0.99,Female,7,0
29,47488,689,40415,0.82,Male,29,0
35,80995,642,16570,0.29,Female,13,0
35,65499,669,25416,0.63,Male,5,0
46,60531,611,20177,0.57,Male,2,0
62,54838,723,18005,0.56,Male,2,0
33,58751,662,29379,0.37,Male,22,0
52,77243,725,16362,0.29,Female,13,0
59,42928,643,17584,0.75,Female,20,0
69,55874,679,30998,0.19,Male,2,0
52,78735,726,16922,0.14,Female,27,0
24,74755,621,8751,0.44,Male,11,1
50,43161,635,10977,0.77,Male,11,0
57,57261,720,24115,0.88,Female,16,0
43,70920,747,14390,0.59,Male,10,1
59,69951,680,29039,0.86,Female,8,1
65,74627,631,20167,0.12,Female,26,0
35,65764,664,26098,0.51,Male,27,0
